node_id,n0,n1,n2,n3,n4,n5,n6,n7
0,2,6,74,21,18,20,8,9
1,3,14,7,30,11,9,58,19
2,0,6,74,16,18,21,20,8
3,1,14,5,7,30,11,54,58
4,12,2,0,6,75,57,18,78
5,13,3,1,14,21,19,11,9
6,0,2,74,18,20,29,9,21
7,14,1,30,11,75,9,19,21
8,29,20,74,18,9,21,73,30
9,30,21,19,11,74,73,10,18
10,18,9,74,73,21,30,11,19
11,19,30,9,21,73,74,10,18
12,4,57,6,20,75,0,2,18
13,5,3,75,86,19,11,9,1
14,7,1,30,3,11,9,19,86
15,23,82,92,64,88,33,90,60
16,27,2,0,6,74,8,20,56
17,28,21,73,86,9,74,5,20
18,74,10,9,73,20,21,8,75
19,11,30,9,21,73,74,10,18
20,8,18,74,9,21,73,10,30
21,9,30,19,11,74,73,10,18
22,73,9,74,26,76,97,18,21
23,15,64,92,88,82,33,90,51
24,73,74,9,75,18,21,20,30
25,96,42,73,74,9,75,93,30
26,43,96,22,76,97,73,9,74
27,16,2,0,6,29,74,30,63
28,17,21,73,75,86,9,74,85
29,8,74,9,73,30,18,21,20
30,9,11,19,21,73,74,10,18
31,85,64,79,66,29,60,53,23
32,66,23,69,90,77,65,54,1
33,64,54,51,90,23,1,3,15
34,40,46,98,48,80,44,36,67
35,41,47,38,39,99,81,37,68
36,48,44,98,80,67,46,40,34
37,45,49,99,68,47,81,35,41
38,39,41,35,47,99,68,45,81
39,38,35,41,47,68,45,99,37
40,34,46,98,80,48,44,67,36
41,35,38,47,39,99,81,45,37
42,25,9,93,96,30,74,73,19
43,76,26,96,22,73,9,74,30
44,48,36,98,40,34,67,46,80
45,37,49,47,68,99,81,41,35
46,40,98,34,80,48,44,36,67
47,41,35,99,81,38,68,45,37
48,44,36,98,67,46,40,34,80
49,45,37,68,99,81,47,41,39
50,52,63,88,19,11,21,54,51
51,54,64,63,50,58,33,3,52
52,50,63,88,77,56,19,11,21
53,78,57,18,10,70,29,89,74
54,51,58,64,63,79,50,33,1
55,71,69,33,88,1,20,85,3
56,77,52,50,88,8,16,74,20
57,78,53,12,4,6,18,9,21
58,79,54,63,1,51,50,3,52
59,61,91,79,16,58,54,82,4
60,62,92,23,15,82,65,31,53
61,59,91,16,90,27,32,1,66
62,60,92,65,53,23,88,15,82
63,50,52,54,64,21,51,58,19
64,51,54,63,33,50,23,75,9
65,82,62,32,53,78,54,92,60
66,32,64,51,1,82,5,3,63
67,80,98,48,36,44,40,46,34
68,49,81,99,37,47,45,39,35
69,30,9,11,74,20,8,86,21
70,74,18,10,29,73,9,8,21
71,55,88,33,64,23,1,30,85
72,89,4,17,28,75,52,9,58
73,74,9,21,18,30,10,75,19
74,9,73,18,21,10,75,8,20
75,9,74,73,18,21,30,10,19
76,43,22,9,73,74,26,18,21
77,56,52,50,21,19,11,74,32
78,57,53,4,18,89,65,6,75
79,58,54,51,1,33,52,63,50
80,98,46,40,67,48,34,36,44
81,99,68,47,37,45,35,41,49
82,15,23,64,65,88,92,66,90
83,73,74,29,9,21,85,20,8
84,18,9,74,30,20,19,73,11
85,73,20,18,74,9,21,10,75
86,9,74,73,30,75,19,11,21
87,96,74,18,73,9,20,75,25
88,50,52,63,64,23,54,51,71
89,72,53,18,10,2,74,78,0
90,63,54,33,64,23,51,3,15
91,59,61,4,79,89,78,72,2
92,60,23,15,62,82,88,51,54
93,25,96,43,42,26,73,9,74
94,74,97,9,73,24,22,21,18
95,93,76,43,25,96,26,22,87
96,26,43,25,74,73,9,75,30
97,22,9,74,73,75,26,21,18
98,80,46,40,48,67,34,36,44
99,81,47,68,37,49,45,35,41
